competition;match_id;start_date;end_date;match_type;overs;city;venue;neutral_venue;home_team;away_team;umpire1;umpire2;toss_winner;decision;result_method;winner;win_innings;win_runs;win_wickets;mom1;mom2
IPL;335982;2008-04-18;2008-04-18;T20;20;Bangalore;M Chinnaswamy Stadium;0;Royal Challengers Bangalore;Kolkata Knight Riders;Asad Rauf;RE Koertzen;Royal Challengers Bangalore;field;none;Kolkata Knight Riders;0;140;0;BB McCullum;none
IPL;335983;2008-04-19;2008-04-19;T20;20;Chandigarh;Punjab Cricket Association Stadium, Mohali;0;Kings XI Punjab;Chennai Super Kings;MR Benson;SL Shastri;Chennai Super Kings;bat;none;Chennai Super Kings;0;33;0;MEK Hussey;none
IPL;335984;2008-04-19;2008-04-19;T20;20;Delhi;Feroz Shah Kotla;0;Delhi Daredevils;Rajasthan Royals;Aleem Dar;GA Pratapkumar;Rajasthan Royals;bat;none;Delhi Daredevils;0;0;9;MF Maharoof;none
IPL;335985;2008-04-20;2008-04-20;T20;20;Mumbai;Wankhede Stadium;0;Mumbai Indians;Royal Challengers Bangalore;SJ Davis;DJ Harper;Mumbai Indians;bat;none;Royal Challengers Bangalore;0;0;5;MV Boucher;none
IPL;335986;2008-04-20;2008-04-20;T20;20;Kolkata;Eden Gardens;0;Kolkata Knight Riders;Deccan Chargers;BF Bowden;K Hariharan;Deccan Chargers;bat;none;Kolkata Knight Riders;0;0;5;DJ Hussey;none
IPL;335987;2008-04-21;2008-04-21;T20;20;Jaipur;Sawai Mansingh Stadium;0;Rajasthan Royals;Kings XI Punjab;Aleem Dar;RB Tiffin;Kings XI Punjab;bat;none;Rajasthan Royals;0;0;6;SR Watson;none
IPL;335988;2008-04-22;2008-04-22;T20;20;Hyderabad;Rajiv Gandhi International Stadium, Uppal;0;Deccan Chargers;Delhi Daredevils;IL Howell;AM Saheba;Deccan Chargers;bat;none;Delhi Daredevils;0;0;9;V Sehwag;none
IPL;335989;2008-04-23;2008-04-23;T20;20;Chennai;MA Chidambaram Stadium, Chepauk;0;Chennai Super Kings;Mumbai Indians;DJ Harper;GA Pratapkumar;Mumbai Indians;field;none;Chennai Super Kings;0;6;0;ML Hayden;none
IPL;335990;2008-04-24;2008-04-24;T20;20;Hyderabad;Rajiv Gandhi International Stadium, Uppal;0;Deccan Chargers;Rajasthan Royals;Asad Rauf;MR Benson;Rajasthan Royals;field;none;Rajasthan Royals;0;0;3;YK Pathan;none
IPL;335991;2008-04-25;2008-04-25;T20;20;Chandigarh;Punjab Cricket Association Stadium, Mohali;0;Kings XI Punjab;Mumbai Indians;Aleem Dar;AM Saheba;Mumbai Indians;field;none;Kings XI Punjab;0;66;0;KC Sangakkara;none
IPL;335992;2008-04-26;2008-04-26;T20;20;Bangalore;M Chinnaswamy Stadium;0;Royal Challengers Bangalore;Rajasthan Royals;MR Benson;IL Howell;Rajasthan Royals;field;none;Rajasthan Royals;0;0;7;SR Watson;none
IPL;335993;2008-04-26;2008-04-26;T20;20;Chennai;MA Chidambaram Stadium, Chepauk;0;Chennai Super Kings;Kolkata Knight Riders;BF Bowden;AV Jayaprakash;Kolkata Knight Riders;bat;none;Chennai Super Kings;0;0;9;JDP Oram;none
IPL;335994;2008-04-27;2008-04-27;T20;20;Mumbai;Dr DY Patil Sports Academy;0;Mumbai Indians;Deccan Chargers;Asad Rauf;SL Shastri;Deccan Chargers;field;none;Deccan Chargers;0;0;10;AC Gilchrist;none
IPL;335995;2008-04-27;2008-04-27;T20;20;Chandigarh;Punjab Cricket Association Stadium, Mohali;0;Kings XI Punjab;Delhi Daredevils;RE Koertzen;I Shivram;Delhi Daredevils;bat;none;Kings XI Punjab;0;0;4;SM Katich;none
IPL;335996;2008-04-28;2008-04-28;T20;20;Bangalore;M Chinnaswamy Stadium;0;Royal Challengers Bangalore;Chennai Super Kings;BR Doctrove;RB Tiffin;Chennai Super Kings;bat;none;Chennai Super Kings;0;13;0;MS Dhoni;none
IPL;335997;2008-04-29;2008-04-29;T20;20;Kolkata;Eden Gardens;0;Kolkata Knight Riders;Mumbai Indians;BF Bowden;AV Jayaprakash;Kolkata Knight Riders;bat;none;Mumbai Indians;0;0;7;ST Jayasuriya;none
IPL;335998;2008-04-30;2008-04-30;T20;20;Delhi;Feroz Shah Kotla;0;Delhi Daredevils;Royal Challengers Bangalore;Aleem Dar;I Shivram;Royal Challengers Bangalore;field;none;Delhi Daredevils;0;10;0;GD McGrath;none
IPL;335999;2008-05-01;2008-05-01;T20;20;Hyderabad;Rajiv Gandhi International Stadium, Uppal;0;Deccan Chargers;Kings XI Punjab;BR Doctrove;RB Tiffin;Kings XI Punjab;field;none;Kings XI Punjab;0;0;7;SE Marsh;none
IPL;336000;2008-05-01;2008-05-01;T20;20;Jaipur;Sawai Mansingh Stadium;0;Rajasthan Royals;Kolkata Knight Riders;RE Koertzen;GA Pratapkumar;Rajasthan Royals;bat;none;Rajasthan Royals;0;45;0;SA Asnodkar;none
IPL;336001;2008-05-02;2008-05-02;T20;20;Chennai;MA Chidambaram Stadium, Chepauk;0;Chennai Super Kings;Delhi Daredevils;BF Bowden;K Hariharan;Chennai Super Kings;bat;none;Delhi Daredevils;0;0;8;V Sehwag;none
